id,position,team,mpg,fgm,fga,fg%,ftm,fta,ft%,threepg,ppg,rpg,asg,spg,bpg,topg
J. Harden Hou ," PG,SG",Hou,35:22,9.0,20.1,.449,8.7,10.1,.858,3.7,30.4,5.4,8.8,1.8,0.7,4.4
A. Davis NO ," PF,C",NO,36:23,10.4,19.5,.534,6.6,8.0,.828,0.7,28.1,11.1,2.3,1.5,2.6,2.2
G. Antetokounmpo Mil ," SF,PF",Mil,36:48,9.9,18.7,.529,6.5,8.5,.760,0.6,26.9,10.0,4.8,1.5,1.4,3.0
S. Curry GS ," PG,SG",GS,31:57,8.4,16.9,.495,5.5,5.9,.921,4.2,26.4,5.1,6.1,1.6,0.2,3.0
K. Towns Min , C,Min,35:36,7.8,14.3,.545,4.2,4.9,.858,1.5,21.3,12.3,2.4,0.8,1.4,1.9
K. Durant GS ," SF,PF",GS,34:15,9.3,18.0,.516,5.3,5.9,.889,2.5,26.4,6.8,5.4,0.7,1.8,3.0
L. James LAL ," SF,PF",LAL,36:52,10.5,19.3,.542,4.7,6.5,.731,1.8,27.5,8.6,9.1,1.4,0.9,4.2
N. Jokic Den ," PF,C",Den,32:33,6.7,13.5,.500,3.5,4.2,.850,1.5,18.5,10.7,6.1,1.2,0.8,2.8
D. Lillard Por , PG,Por,36:34,8.5,19.4,.439,6.8,7.4,.916,3.1,26.9,4.5,6.6,1.1,0.4,2.8
R. Westbrook OKC , PG,OKC,36:27,9.5,21.1,.449,5.2,7.1,.737,1.2,25.4,10.1,10.3,1.8,0.3,4.8
V. Oladipo Ind ," PG,SG",Ind,34:04,8.5,17.9,.477,3.9,4.9,.799,2.1,23.1,5.2,4.3,2.4,0.8,2.9
P. George OKC ," SG,SF",OKC,36:36,7.3,17.0,.430,4.3,5.2,.822,3.1,21.9,5.7,3.3,2.0,0.5,2.7
K. Leonard Tor ," SG,SF",Tor,23:26,5.8,12.3,.468,3.4,4.2,.816,1.2,16.2,4.7,2.3,2.0,1.0,1.8
K. Walker Cha , PG,Cha,34:13,7.4,17.0,.431,4.5,5.3,.864,2.9,22.1,3.1,5.6,1.1,0.3,2.2
C. Paul Hou , PG,Hou,31:51,6.3,13.8,.460,3.5,3.8,.919,2.5,18.6,5.4,7.9,1.7,0.2,2.2
B. Simmons Phi , PG,Phi,33:46,6.7,12.3,.545,2.4,4.2,.560,0.0,15.8,8.1,8.2,1.7,0.9,3.4
D. Mitchell Uta ," PG,SG",Uta,33:24,7.5,17.2,.437,3.0,3.8,.805,2.4,20.5,3.7,3.7,1.5,0.3,2.7
K. Irving Bos ," PG,SG",Bos,32:10,8.9,18.1,.491,3.9,4.4,.889,2.8,24.4,3.8,5.1,1.1,0.3,2.3
B. Beal Was , SG,Was,36:19,8.3,18.1,.460,3.6,4.5,.791,2.4,22.6,4.4,4.5,1.2,0.4,2.6
J. Holiday NO ," PG,SG",NO,36:06,7.6,15.4,.494,2.3,2.9,.786,1.5,19.0,4.5,6.0,1.5,0.8,2.6
J. Embiid Phi ," PF,C",Phi,30:22,8.1,16.8,.483,5.7,7.4,.769,1.0,22.9,11.0,3.2,0.6,1.8,3.7
J. Butler Min ," SG,SF",Min,36:39,7.4,15.6,.474,6.2,7.2,.854,1.2,22.2,5.3,4.9,2.0,0.4,1.8
K. Lowry Tor , PG,Tor,32:09,5.2,12.1,.427,2.9,3.3,.854,3.1,16.2,5.6,6.9,1.1,0.2,2.3
J. Wall Was , PG,Was,34:20,6.8,16.3,.420,4.3,5.9,.726,1.5,19.4,3.7,9.6,1.4,1.1,3.9
D. Booker Pho ," PG,SG",Pho,34:31,8.4,19.5,.432,5.4,6.1,.878,2.7,24.9,4.5,4.7,0.9,0.3,3.6
K. Middleton Mil ," SG,SF",Mil,36:20,7.2,15.5,.466,3.9,4.4,.884,1.8,20.1,5.2,4.0,1.5,0.3,2.3
R. Gobert Uta , C,Uta,32:23,4.9,7.9,.622,3.6,5.3,.682,0.0,13.5,10.7,1.4,0.8,2.3,1.9
C. McCollum Por ," PG,SG",Por,36:06,8.2,18.6,.443,2.6,3.1,.836,2.3,21.4,4.0,3.4,1.0,0.4,1.9
A. Drummond Det ," PF,C",Det,33:42,6.0,11.3,.529,3.1,5.1,.605,0.0,15.0,16.0,3.0,1.5,1.6,2.6
D. Green GS ," PF,C",GS,32:39,4.0,8.8,.454,1.9,2.5,.775,1.1,11.0,7.6,7.3,1.4,1.3,2.9
O. Porter Jr. Was ," SF,PF",Was,31:33,5.8,11.5,.503,1.4,1.7,.828,1.8,14.7,6.4,2.0,1.5,0.5,1.0
K. Thompson GS ," SG,SF",GS,34:15,7.9,16.2,.488,1.1,1.3,.837,3.1,20.0,3.8,2.5,0.8,0.5,1.8
T. Harris LAC ," SF,PF",LAC,33:21,7.0,15.3,.460,2.2,2.7,.829,2.3,18.6,5.5,2.4,0.9,0.4,1.3
M. Gasol Mem , C,Mem,33:00,5.9,14.2,.420,3.8,4.6,.834,1.5,17.2,8.1,4.2,0.7,1.4,2.7
K. Love Cle ," PF,C",Cle,28:01,5.7,12.4,.458,4.0,4.5,.880,2.3,17.6,9.3,1.7,0.7,0.4,1.5
L. Aldridge SA ," PF,C",SA,33:30,9.2,18.0,.510,4.5,5.3,.837,0.4,23.1,8.5,2.0,0.6,1.2,1.5
D. DeRozan SA ," SG,SF",SA,33:51,8.1,17.7,.456,5.8,7.0,.825,1.1,23.0,3.9,5.2,1.1,0.3,2.2
C. Capela Hou ," PF,C",Hou,27:30,6.0,9.1,.652,1.9,3.5,.560,0.0,13.9,10.8,0.9,0.8,1.9,1.4
E. Bledsoe Mil ," PG,SG",Mil,31:22,6.3,13.4,.473,3.4,4.3,.795,1.7,17.7,3.8,5.0,2.0,0.6,2.9
J. Murray Den ," PG,SG",Den,31:40,5.9,13.1,.451,2.8,3.1,.905,2.0,16.7,3.7,3.4,1.0,0.3,2.1
A. Gordon Orl ," SF,PF",Orl,33:00,6.5,14.9,.434,2.7,3.9,.698,2.0,17.6,7.9,2.3,1.0,0.8,1.8
M. Turner Ind ," PF,C",Ind,28:13,4.7,9.8,.479,2.5,3.2,.777,0.9,12.7,6.4,1.3,0.6,1.8,1.5
A. Horford Bos ," PF,C",Bos,31:36,5.1,10.5,.489,1.3,1.7,.783,1.3,12.9,7.4,4.7,0.6,1.1,1.8
