id,position,gp,team,fgm,fga,fg%,ftm,fta,ft%,threepa,threepm,ppg,orpg,drpg,rpg,apg,spg,bpg,topg,ddpg,tdpg
A. Davis LAL,"PF,C",74,LAL,10.0,18.8,.529,6.7,8.4,.805,3.1,1.1,27.7,3.3,9.5,12.7,3.6,1.5,2.7,2.2,0.0,0.0
S. Curry GS,"PG,SG",70,GS,9.6,20.5,.469,5.2,5.6,.922,12.3,5.1,29.6,0.7,4.8,5.4,6.3,1.4,0.2,3.1,0.0,0.0
J. Harden Hou,"PG,SG",75,HOU,9.4,21.4,.442,9.5,10.9,.879,11.3,4.1,32.5,0.8,5.7,6.6,8.3,2.0,0.7,5.0,0.0,0.0
K. Towns Min,C,81,MIN,9.7,18.5,.526,5.2,6.1,.845,5.4,2.1,26.8,3.5,9.4,12.9,3.6,0.9,1.7,2.8,0.0,0.0
G. Antetokounmpo Mil,"SF,PF",74,MIL,10.5,18.4,.570,7.4,10.0,.748,3.5,1.1,29.5,2.2,10.4,12.7,6.0,1.3,1.6,3.8,0.0,0.0
N. Jokic Den,"PF,C",76,DEN,8.0,15.8,.505,4.1,4.8,.845,3.8,1.3,21.4,2.9,8.2,11.1,7.8,1.3,0.7,3.2,0.0,0.0
J. Embiid Phi,"PF,C",66,PHI,8.8,18.0,.487,8.0,9.7,.821,4.3,1.3,26.8,2.3,10.1,12.4,3.2,0.8,2.1,3.4,0.0,0.0
D. Lillard Por,PG,76,POR,9.0,20.1,.447,5.9,6.6,.904,8.7,3.2,27.1,0.9,3.9,4.7,7.0,1.1,0.4,2.8,0.0,0.0
L. James LAL,"SF,PF",72,LAL,9.5,18.8,.504,5.1,7.4,.685,6.1,2.1,26.2,1.0,7.0,8.0,9.2,1.3,0.6,4.1,0.0,0.0
B. Beal Was,SG,80,WAS,9.4,20.0,.469,4.7,5.8,.807,7.9,2.9,26.3,1.1,3.8,4.9,5.3,1.3,0.7,2.7,0.0,0.0
K. Irving Bkn,"PG,SG",70,BKN,8.9,18.6,.478,3.9,4.3,.894,6.9,2.8,24.4,1.0,3.7,4.8,6.4,1.6,0.4,2.6,0.0,0.0
